date,dex_sl_us
8/30/2021,199.5
8/31/2021,199.16
9/1/2021,199
9/2/2021,199.47
9/3/2021,200
9/7/2021,199
9/8/2021,199
9/9/2021,199.5
9/10/2021,200
9/13/2021,199
9/14/2021,199
9/15/2021,199
9/16/2021,199
9/17/2021,199.29
9/20/2021,199
9/21/2021,199
9/22/2021,199
9/23/2021,199.5
9/24/2021,199.03
9/27/2021,199
9/28/2021,199.13
9/29/2021,199.35
9/30/2021,199
10/1/2021,199
10/4/2021,199
10/5/2021,199.5
10/6/2021,199.5
10/7/2021,199.5
10/8/2021,199.5
10/12/2021,200
10/13/2021,201
10/14/2021,201
10/15/2021,200.3
10/18/2021,200
10/19/2021,199.69
10/20/2021,198.85
10/21/2021,200
10/22/2021,200.01
10/25/2021,200
10/26/2021,202.5
10/27/2021,201.11
10/28/2021,200.49
10/29/2021,200.71
11/1/2021,201
11/2/2021,201.03
11/3/2021,200.61
11/4/2021,200
11/5/2021,200
11/8/2021,200
11/9/2021,200.29
11/10/2021,201
11/12/2021,201.05
11/15/2021,201.8
11/16/2021,201.8
11/17/2021,200.94
11/18/2021,201
11/19/2021,201.01
11/22/2021,202.46
11/23/2021,202.5
11/24/2021,201
11/26/2021,201.79
11/29/2021,202.5
11/30/2021,202.5
12/1/2021,200.86
12/2/2021,202
12/3/2021,201
12/6/2021,202.5
12/7/2021,202
12/8/2021,202.75
12/9/2021,202
12/10/2021,202
12/13/2021,201
12/14/2021,202
12/15/2021,202
12/16/2021,201.56
12/17/2021,201.56
12/20/2021,202
12/21/2021,202
12/22/2021,201.79
12/23/2021,202
12/27/2021,202.5
12/28/2021,202.75
12/29/2021,202
12/30/2021,202.75
1/3/2022,202.75
1/4/2022,202.75
1/5/2022,201
1/6/2022,201
1/7/2022,202.75
1/10/2022,202.75
1/11/2022,202.75
1/12/2022,202.75
1/13/2022,202.75
1/14/2022,200.05
1/18/2022,200.37
1/19/2022,202.75
1/20/2022,202
1/21/2022,202
1/24/2022,201
1/25/2022,200
1/26/2022,202.75
1/27/2022,201
1/28/2022,201
1/31/2022,202.67
2/1/2022,202.67
2/2/2022,202.75
2/3/2022,202.5
2/4/2022,201.14
2/7/2022,202.75
2/8/2022,201.66
2/9/2022,200.51
2/10/2022,202.75
2/11/2022,202
2/14/2022,202
2/15/2022,202
2/16/2022,200.89
2/17/2022,202.5
2/18/2022,202
2/22/2022,202.5
2/23/2022,202.5
2/24/2022,202
2/25/2022,202
2/28/2022,201
3/1/2022,199.94
3/2/2022,202.5
3/3/2022,202
3/4/2022,200
3/7/2022,200.79
3/8/2022,225.2
3/9/2022,225.16
3/10/2022,231.41
3/11/2022,250.08
3/14/2022,250.12
3/15/2022,260
3/16/2022,265
3/17/2022,264.45
3/18/2022,275
3/21/2022,275
3/22/2022,272.06
3/23/2022,280
3/24/2022,285
3/25/2022,290
3/28/2022,285
3/29/2022,288.97
3/30/2022,293
3/31/2022,290
4/1/2022,294.7
4/4/2022,295
4/5/2022,295
4/6/2022,295.9
4/7/2022,310
4/8/2022,310
4/11/2022,315
4/12/2022,315.18
4/13/2022,314.74
4/14/2022,314.74
4/15/2022,315.13
4/18/2022,320
4/19/2022,330
4/20/2022,330
4/21/2022,330
4/22/2022,330
4/25/2022,330
4/26/2022,340
4/27/2022,350
4/28/2022,346.2
4/29/2022,345.27
5/2/2022,345.27
5/3/2022,345.27
5/4/2022,347.47
5/5/2022,365
5/6/2022,358.82
5/9/2022,358.82
5/10/2022,360.64
5/11/2022,361.18
5/12/2022,365
5/13/2022,355.32
5/16/2022,354.87
5/17/2022,355.32
5/18/2022,355
5/19/2022,355
5/20/2022,355.23
5/23/2022,355.05
5/24/2022,355.15
5/25/2022,359
5/26/2022,359.5
5/27/2022,359.43
5/31/2022,355.85
6/1/2022,355.29
6/2/2022,355.31
6/3/2022,356
6/6/2022,362
6/7/2022,357
6/8/2022,357
6/9/2022,357
6/10/2022,357.68
6/13/2022,355
6/14/2022,354.54
6/15/2022,355
6/16/2022,357
6/17/2022,357
6/21/2022,358
6/22/2022,356.18
6/23/2022,357
6/24/2022,357
6/27/2022,357
6/28/2022,356
6/29/2022,356
6/30/2022,356
7/1/2022,356
7/5/2022,356.52
7/6/2022,356.6
7/7/2022,355
7/8/2022,360
7/11/2022,355
7/12/2022,355
7/13/2022,354.79
7/14/2022,361
7/15/2022,359.51
7/18/2022,355
7/19/2022,358.26
7/20/2022,356
7/21/2022,358
7/22/2022,355
7/25/2022,358
7/26/2022,357
7/27/2022,357
7/28/2022,362
7/29/2022,357
8/1/2022,355.79
8/2/2022,358
8/3/2022,357
8/4/2022,357
8/5/2022,357
8/8/2022,360.5
8/9/2022,357
8/10/2022,358
8/11/2022,357.96
8/12/2022,355
8/15/2022,355
8/16/2022,355
8/17/2022,355
8/18/2022,355
8/19/2022,355
8/22/2022,357
8/23/2022,355
8/24/2022,357
8/25/2022,357
8/26/2022,357
8/29/2022,355
8/30/2022,355
8/31/2022,358
9/1/2022,358
9/2/2022,355
9/6/2022,355
9/7/2022,355.76
9/8/2022,359
9/9/2022,355
9/12/2022,361.96
9/13/2022,358.45
9/14/2022,360.75
9/15/2022,362
9/16/2022,360.75
9/19/2022,359
9/20/2022,359
9/21/2022,361
9/22/2022,358
9/23/2022,359.05
9/26/2022,359
9/27/2022,359
9/28/2022,360.09
9/29/2022,359.57
9/30/2022,362
10/3/2022,358
10/4/2022,363
10/5/2022,363
10/6/2022,363
10/7/2022,363
10/11/2022,363
10/12/2022,362.26
10/13/2022,361.26
10/14/2022,363
10/17/2022,362
10/18/2022,362
10/19/2022,361.4
10/20/2022,361.63
10/21/2022,362
10/24/2022,354.3
10/25/2022,363
10/26/2022,363
10/27/2022,363
10/28/2022,363
10/31/2022,363
11/1/2022,361.56
11/2/2022,362
11/3/2022,363
11/4/2022,362
11/7/2022,354.4
11/8/2022,365
11/9/2022,363
11/10/2022,362.59
11/14/2022,363
11/15/2022,363
11/16/2022,363
11/17/2022,363.26
11/18/2022,363.26
11/21/2022,363.12
11/22/2022,363
11/23/2022,363
11/25/2022,363
11/28/2022,364.58
11/29/2022,363
11/30/2022,365
12/1/2022,365
12/2/2022,365
12/5/2022,363.39
12/6/2022,362.59
12/7/2022,362.63
12/8/2022,362.91
12/9/2022,363
12/12/2022,363.26
12/13/2022,362.22
12/14/2022,363
12/15/2022,363
12/16/2022,363.41
12/19/2022,362.88
12/20/2022,363
12/21/2022,363
12/22/2022,363
12/23/2022,363.31
12/27/2022,363
12/28/2022,363
12/29/2022,363
12/30/2022,363.31
1/3/2023,364.36
1/4/2023,363.99
1/5/2023,364.02
1/6/2023,363.93
1/9/2023,364.39
1/10/2023,365.43
1/11/2023,363.41
1/12/2023,365.41
1/13/2023,363.97
1/17/2023,364.88
1/18/2023,363.05
1/19/2023,364.01
1/20/2023,364.66
1/23/2023,362
1/24/2023,363.33
1/25/2023,363.13
1/26/2023,363.19
1/27/2023,362.81
1/30/2023,364.3
1/31/2023,364.63
2/1/2023,363.95
2/2/2023,364.67
2/3/2023,363
2/6/2023,364.22
2/7/2023,363.15
2/8/2023,362.9
2/9/2023,362.99
2/10/2023,362.57
2/13/2023,363.09
2/14/2023,362.5
2/15/2023,362.64
2/16/2023,362.77
2/17/2023,363.09
2/21/2023,362.19
2/22/2023,362.45
2/23/2023,363.24
2/24/2023,362.49
2/27/2023,360.4
2/28/2023,358.06
3/1/2023,354.2
3/2/2023,345.95
3/3/2023,334.33
3/6/2023,333.61
3/7/2023,322.25
3/8/2023,315
3/9/2023,320
3/10/2023,315
3/13/2023,325
3/14/2023,327.64
3/15/2023,335
3/16/2023,339.5
3/17/2023,336
3/20/2023,335
3/21/2023,320
3/22/2023,319.5
3/23/2023,318
3/24/2023,320
3/27/2023,319.68
3/28/2023,321.5
3/29/2023,325
3/30/2023,325
3/31/2023,324
4/3/2023,322.67
4/4/2023,319.59
4/5/2023,319.67
4/6/2023,320
4/7/2023,319.25
4/10/2023,318
